"id","codigo_ibge","nome","tipo","uf","timezone"
"0bf920e2-e12e-4f8f-9fa6-c28f2e284d35","5205802",Corumbá de Goiás,MUNICIPIO,GO,-3
"0c0140f9-a8d0-42c9-ad42-f3613520a68d","3548500",Santos,MUNICIPIO,SP,-3
"0c0f6646-846a-4d5f-b28a-bac2c531c36e","3531902",Morro Agudo,MUNICIPIO,SP,-3
"0c10bc6c-f0d8-4047-b12a-28fa77d949c5","3520509",Indaiatuba,MUNICIPIO,SP,-3
"0c12d17b-bdc8-4912-bb1b-3e4e13ec8a5b","2709400",Viçosa,MUNICIPIO,AL,-3
"0c26a46b-20a4-4813-bca6-57317f9cbee5","2701100",Branquinha,MUNICIPIO,AL,-3
"0c393cf8-0805-4afb-9b73-0bd9ccd784aa","5220058",São João da Paraúna,MUNICIPIO,GO,-3
"0c3f6454-30c9-42cf-bd5e-c7c3bb43343c","3140100",Marilac,MUNICIPIO,MG,-3
"0c41da0d-a23e-42e1-ac1c-8ed3c1de19ca","3532306",Natividade da Serra,MUNICIPIO,SP,-3
"0c422274-d019-4cd8-a528-7871c0a1047a","3108701",Brás Pires,MUNICIPIO,MG,-3
"0c45b526-289a-47c3-b00b-d933f2cb8407","3541059",Pratânia,MUNICIPIO,SP,-3
"0c4849e7-5522-4e2a-9954-ff0e9fc76ece","4209854",Lindóia do Sul,MUNICIPIO,SC,-3
"0c508270-d676-4146-910d-723d1b2d7805","1711506",Jaú do Tocantins,MUNICIPIO,TO,-3
"0c54aeb9-b12b-4eed-b761-8812c0b745a1","5217708",Pontalina,MUNICIPIO,GO,-3
"0c5af02b-5d14-4523-95c6-979b4a1f7aed","5106455",Planalto da Serra,MUNICIPIO,MT,-4
"0c6279ed-0270-4d2f-9b97-f94af8470574","2206696",Murici Dos Portelas,MUNICIPIO,PI,-3
"0c68403f-c7b6-4663-851d-715914d1e229","3512308",Conchas,MUNICIPIO,SP,-3
"0c6f1414-2228-4be8-9fac-aeda4b3533fb","1502202",Capanema,MUNICIPIO,PA,-3
"0c7416fb-84e7-4c1e-8501-01acfb86e968","3517000",Getulina,MUNICIPIO,SP,-3
"0c8a928b-bb97-47ba-ac01-d7dd534cb61b","2210201",São José do Piauí,MUNICIPIO,PI,-3
"0c9a1ed3-70e8-4cf0-94cc-06a91463e14c","2601904",Bezerros,MUNICIPIO,PE,-3
"0ca54df5-7ccd-4853-ac2d-92c86ec42a08","4120101",Porto Amazonas,MUNICIPIO,PR,-3
"0cb2af8c-2e8f-42b6-9ad7-5270ebf67893","4302006",Barros Cassal,MUNICIPIO,RS,-3
"0cb42866-c759-49ed-8e12-8c51c4beff7f","2100907",Araioses,MUNICIPIO,MA,-3
"0cba67e2-3c66-4848-8800-7ee94c4b1db4","4125407",São José da Boa Vista,MUNICIPIO,PR,-3
"0cc2cbef-4874-4d29-b61d-625cf7beba32","2901205",Anagé,MUNICIPIO,BA,-3
"0cd4def4-c7eb-4057-ac42-9ed67f9f57c2","2601409",Barreiros,MUNICIPIO,PE,-3
"0cda659e-aef6-4922-98e7-609b8b32fa10","4216503",São Joaquim,MUNICIPIO,SC,-3
"0ce59e36-6266-49e3-bd5d-aa58c1cf82dc","5204904",Campos Belos,MUNICIPIO,GO,-3
"0cf06d5a-651b-4925-981b-ad70a27473fb","5221080",Teresina de Goiás,MUNICIPIO,GO,-3
"0d012510-c0e1-4ca6-93b7-dbcfd42ddc24","5000252",Alcinópolis,MUNICIPIO,MS,-4
"0d08d915-8728-4031-8ca5-a0d169344028","2607653",Itambé,MUNICIPIO,PE,-3
"0d10e350-86cd-4518-8b21-b9a71f49dfe0","2509503",Montadas,MUNICIPIO,PB,-3
"0d11d758-14ce-4d4a-87e2-56684255358c","3531506",Monte Azul Paulista,MUNICIPIO,SP,-3
"0d1ffb2a-e59e-4fd8-8613-cb16eb6facf8","3306305",Volta Redonda,MUNICIPIO,RJ,-3
"0d236e18-3253-4e6b-9055-5820cdf07e82","2922805",Nova Itarana,MUNICIPIO,BA,-3
"0d297e5e-fa9e-423c-a4b7-c4dedaebf12e","2602001",Bodocó,MUNICIPIO,PE,-3
"0d2e52b1-e6e6-4e7a-ae45-78c0f72bb375","2512036",Poço Dantas,MUNICIPIO,PB,-3
"0d2ffeff-a449-44de-b851-078f9dbed5c0","5212204",Jussara,MUNICIPIO,GO,-3
